"trial_type","trial_number","key_pressed","Response","correctness","RT","Mapping","picture","key1","key2","q","p","expected","startDate","startTime","age","gender","education","languages","comments","endTime","timeSpent","experiment_id",
"experimental_trials_incompatible","1","q","left","1","1017","incompatible","images/stimulus_large.jpg","q","p","large","small","large","Fri Jul 17 2020 13:17:55 GMT+0200 (Mitteleuropäische Sommerzeit)","1594984675138","20","male","Graduated High School","german, english","good study","1594984704562","0.4904","INSERT_A_NUMBER",
"experimental_trials_incompatible","2","p","right","1","875","incompatible","images/stimulus_small.jpg","q","p","large","small","small","Fri Jul 17 2020 13:17:55 GMT+0200 (Mitteleuropäische Sommerzeit)","1594984675138","20","male","Graduated High School","german, english","good study","1594984704562","0.4904","INSERT_A_NUMBER",
"experimental_trials_compatible","3","p","right","1","927","compatible","images/stimulus_small.jpg","q","p","small","large","small","Fri Jul 17 2020 13:17:55 GMT+0200 (Mitteleuropäische Sommerzeit)","1594984675138","20","male","Graduated High School","german, english","good study","1594984704562","0.4904","INSERT_A_NUMBER",
"experimental_trials_compatible","4","q","left","0","601","compatible","images/stimulus_small.jpg","q","p","small","large","small","Fri Jul 17 2020 13:17:55 GMT+0200 (Mitteleuropäische Sommerzeit)","1594984675138","20","male","Graduated High School","german, english","good study","1594984704562","0.4904","INSERT_A_NUMBER",
"experimental_trials_compatible","5","q","left","1","721","compatible","images/stimulus_large.jpg","q","p","small","large","large","Fri Jul 17 2020 13:17:55 GMT+0200 (Mitteleuropäische Sommerzeit)","1594984675138","20","male","Graduated High School","german, english","good study","1594984704562","0.4904","INSERT_A_NUMBER",
