"Participant","trial_type","trial_number","key_pressed","Response","correctness","RT","logRT","Mapping","expected","Handedness"
2090,"experimental_trials_compatible",5,"q","left",1,397,5.98393628068719,"compatible","small","right-handed"
2090,"experimental_trials_compatible",6,"p","right",1,581,6.36475075685191,"compatible","large","right-handed"
2090,"experimental_trials_compatible",7,"q","left",1,439,6.08449941307517,"compatible","small","right-handed"
2090,"experimental_trials_compatible",8,"q","left",1,379,5.93753620508243,"compatible","small","right-handed"
2090,"experimental_trials_compatible",9,"p","right",1,498,6.21060007702465,"compatible","large","right-handed"
2090,"experimental_trials_compatible",10,"q","left",1,493,6.20050917404269,"compatible","small","right-handed"
2090,"experimental_trials_compatible",11,"p","right",1,517,6.24804287450843,"compatible","large","right-handed"
2090,"experimental_trials_compatible",12,"p","right",1,513,6.24027584517077,"compatible","large","right-handed"
2090,"experimental_trials_compatible",13,"p","right",1,519,6.25190388316589,"compatible","large","right-handed"
2090,"experimental_trials_compatible",14,"p","right",1,373,5.92157841964382,"compatible","large","right-handed"
2090,"experimental_trials_compatible",15,"p","right",1,417,6.0330862217988,"compatible","large","right-handed"
2090,"experimental_trials_compatible",16,"q","left",1,432,6.06842558824411,"compatible","small","right-handed"
2090,"experimental_trials_compatible",17,"q","left",1,423,6.04737217904628,"compatible","small","right-handed"
2090,"experimental_trials_compatible",18,"p","right",1,743,6.61069604471776,"compatible","large","right-handed"
2090,"experimental_trials_compatible",19,"q","left",1,548,6.30627528694802,"compatible","small","right-handed"
2090,"experimental_trials_compatible",20,"p","right",1,625,6.4377516497364,"compatible","large","right-handed"
2090,"experimental_trials_compatible",21,"q","left",1,384,5.95064255258773,"compatible","small","right-handed"
2090,"experimental_trials_compatible",22,"q","left",1,557,6.32256523992728,"compatible","small","right-handed"
2090,"experimental_trials_compatible",23,"p","right",1,427,6.05678401322862,"compatible","large","right-handed"
2090,"experimental_trials_compatible",24,"q","left",1,462,6.13556489108174,"compatible","small","right-handed"
2090,"experimental_trials_compatible",25,"q","left",1,497,6.20859002609663,"compatible","small","right-handed"
2090,"experimental_trials_compatible",26,"p","right",1,408,6.01126717440416,"compatible","large","right-handed"
2090,"experimental_trials_compatible",27,"q","left",1,472,6.15697898558556,"compatible","small","right-handed"
2090,"experimental_trials_compatible",28,"p","right",1,437,6.07993319509559,"compatible","large","right-handed"
2090,"experimental_trials_compatible",29,"q","left",1,392,5.97126183979046,"compatible","small","right-handed"
2090,"experimental_trials_compatible",30,"p","right",1,362,5.89164421182577,"compatible","large","right-handed"
2090,"experimental_trials_compatible",33,"q","left",1,522,6.25766758788264,"compatible","small","right-handed"
2090,"experimental_trials_compatible",34,"p","right",1,462,6.13556489108174,"compatible","large","right-handed"
2090,"experimental_trials_compatible",35,"p","right",1,473,6.15909538849193,"compatible","large","right-handed"
2090,"experimental_trials_compatible",36,"q","left",1,503,6.22059017009974,"compatible","small","right-handed"
2090,"experimental_trials_compatible",37,"p","right",1,473,6.15909538849193,"compatible","large","right-handed"
2090,"experimental_trials_compatible",38,"q","left",1,667,6.50279004591562,"compatible","small","right-handed"
2090,"experimental_trials_compatible",39,"q","left",1,458,6.12686918411419,"compatible","small","right-handed"
2090,"experimental_trials_compatible",40,"p","right",1,573,6.35088571671474,"compatible","large","right-handed"
2090,"experimental_trials_compatible",41,"p","right",1,322,5.77455154554441,"compatible","large","right-handed"
2090,"experimental_trials_compatible",42,"q","left",1,438,6.08221891037645,"compatible","small","right-handed"
2090,"experimental_trials_compatible",43,"q","left",1,502,6.21860011969173,"compatible","small","right-handed"
2090,"experimental_trials_compatible",44,"q","left",1,452,6.11368217983223,"compatible","small","right-handed"
2090,"experimental_trials_compatible",45,"q","left",1,408,6.01126717440416,"compatible","small","right-handed"
2090,"experimental_trials_compatible",46,"p","right",1,473,6.15909538849193,"compatible","large","right-handed"
2090,"experimental_trials_compatible",47,"p","right",1,588,6.37672694789863,"compatible","large","right-handed"
2090,"experimental_trials_compatible",48,"p","right",1,588,6.37672694789863,"compatible","large","right-handed"
2090,"experimental_trials_compatible",49,"p","right",1,454,6.11809719804135,"compatible","large","right-handed"
2090,"experimental_trials_compatible",50,"q","left",1,387,5.95842469302978,"compatible","small","right-handed"
2090,"experimental_trials_compatible",51,"q","left",1,735,6.59987049921284,"compatible","small","right-handed"
2090,"experimental_trials_compatible",52,"q","left",1,567,6.34035930372775,"compatible","small","right-handed"
2090,"experimental_trials_compatible",53,"q","left",1,488,6.19031540585315,"compatible","small","right-handed"
2090,"experimental_trials_compatible",54,"q","left",1,504,6.22257626807137,"compatible","small","right-handed"
2090,"experimental_trials_compatible",55,"p","right",1,504,6.22257626807137,"compatible","large","right-handed"
2090,"experimental_trials_compatible",56,"p","right",1,634,6.45204895443723,"compatible","large","right-handed"
2090,"experimental_trials_compatible",57,"p","right",1,392,5.97126183979046,"compatible","large","right-handed"
2090,"experimental_trials_compatible",58,"p","right",1,433,6.07073772800249,"compatible","large","right-handed"
2090,"experimental_trials_compatible",59,"q","left",1,545,6.30078579466324,"compatible","small","right-handed"
2090,"experimental_trials_compatible",60,"p","right",1,370,5.91350300563827,"compatible","large","right-handed"
2089,"experimental_trials_incompatible",1,"q","left",1,450,6.10924758276437,"incompatible","large","right-handed"
2089,"experimental_trials_incompatible",2,"q","left",1,374,5.92425579741453,"incompatible","large","right-handed"
2089,"experimental_trials_incompatible",3,"q","left",1,404,6.00141487796115,"incompatible","large","right-handed"
2089,"experimental_trials_incompatible",4,"p","right",1,430,6.06378520868761,"incompatible","small","right-handed"
2089,"experimental_trials_incompatible",5,"q","left",1,403,5.99893656194668,"incompatible","large","right-handed"
2089,"experimental_trials_incompatible",6,"q","left",1,428,6.0591231955818,"incompatible","large","right-handed"
2089,"experimental_trials_incompatible",7,"q","left",1,423,6.04737217904628,"incompatible","large","right-handed"
2089,"experimental_trials_incompatible",8,"p","right",1,435,6.07534603108868,"incompatible","small","right-handed"
2089,"experimental_trials_incompatible",9,"q","left",1,465,6.14203740558736,"incompatible","large","right-handed"
2089,"experimental_trials_incompatible",10,"p","right",1,568,6.34212141872115,"incompatible","small","right-handed"
2089,"experimental_trials_incompatible",11,"q","left",1,422,6.04500531403601,"incompatible","large","right-handed"
2089,"experimental_trials_incompatible",12,"q","left",1,405,6.00388706710654,"incompatible","large","right-handed"
2089,"experimental_trials_incompatible",13,"p","right",1,432,6.06842558824411,"incompatible","small","right-handed"
2089,"experimental_trials_incompatible",14,"p","right",1,402,5.99645208861902,"incompatible","small","right-handed"
2089,"experimental_trials_incompatible",15,"q","left",1,432,6.06842558824411,"incompatible","large","right-handed"
2089,"experimental_trials_incompatible",16,"q","left",1,472,6.15697898558556,"incompatible","large","right-handed"
2089,"experimental_trials_incompatible",17,"p","right",1,412,6.02102334934953,"incompatible","small","right-handed"
2089,"experimental_trials_incompatible",18,"q","left",1,399,5.98896141688986,"incompatible","large","right-handed"
2089,"experimental_trials_incompatible",19,"p","right",1,547,6.30444880242198,"incompatible","small","right-handed"
2089,"experimental_trials_incompatible",20,"q","left",1,420,6.04025471127741,"incompatible","large","right-handed"
2089,"experimental_trials_incompatible",21,"p","right",1,577,6.3578422665081,"incompatible","small","right-handed"
2089,"experimental_trials_incompatible",22,"p","right",1,501,6.21660610108486,"incompatible","small","right-handed"
2089,"experimental_trials_incompatible",23,"q","left",1,478,6.16961073249146,"incompatible","large","right-handed"
2089,"experimental_trials_incompatible",24,"p","right",1,549,6.30809844150953,"incompatible","small","right-handed"
